ID,model_ID,year,price,mileage,tax,mpg,engineSize,transmission_ID,fuel_ID
27687,9,2014,11200,67068,125,57.59999847,2,1,1
27688,10,2018,27000,14827,145,42.79999924,2,1,5
27689,9,2016,16000,62794,160,51.40000153,3,1,1
27690,1,2017,12750,26676,145,72.40000153,1.5,1,1
27691,11,2014,14500,39554,160,50.40000153,3,1,1
27692,9,2016,14900,35309,125,60.09999847,2,1,1
27693,9,2017,16000,38538,125,60.09999847,2,1,1
27694,3,2018,16250,10401,145,52.29999924,1.5,2,5
27695,8,2017,14250,42668,30,62.79999924,2,2,1
27696,9,2016,14250,36099,20,68.90000153,2,1,1
27697,86,2017,15500,74907,145,52.29999924,2,2,1
27698,1,2017,11800,29840,20,68.90000153,2,2,1
27699,86,2016,15500,77823,125,54.29999924,2,1,1
27700,3,2015,10500,31469,20,68.90000153,2,2,1
27701,86,2017,22000,19057,145,54.29999924,2,1,1
27702,7,2017,16500,16570,125,58.90000153,2,2,1
27703,7,2017,14250,55594,135,148.6999969,2,1,4
27704,7,2017,16000,45456,30,64.19999695,2,1,1
27705,1,2017,15500,22812,20,68.90000153,1.5,1,1
27706,8,2014,14000,47348,125,60.09999847,2,1,1
27707,1,2015,9700,75124,20,70.59999847,2,1,1
27708,7,2015,12600,78957,30,62.79999924,2,1,1
27709,7,2016,15100,29213,30,64.19999695,2,1,1
27710,1,2016,9400,44498,0,83.09999847,1.5,2,1
27711,1,2016,14300,22461,20,67.30000305,2,1,1
27712,1,2016,11200,23005,125,53.29999924,1.5,2,5
27713,7,2019,17800,22310,145,64.19999695,2,1,1
27714,7,2016,14400,51994,30,62.79999924,2,1,1
27715,88,2016,19750,96213,165,52.29999924,2,1,1
27716,86,2015,17400,50316,200,47.90000153,3,1,1
27717,8,2017,16800,44011,150,65.69999695,2,1,1
27718,87,2017,23000,34960,150,54.29999924,2,1,1
27719,42,2016,17100,25269,0,470.7999878,0.600000024,1,4
27720,1,2017,20500,24029,145,39.79999924,3,1,5
27721,1,2017,11900,22920,145,53.29999924,1.5,2,5
27722,3,2017,13000,61818,0,141.1999969,1.5,1,4
27723,7,2015,11500,59634,125,61.40000153,2,2,1
27724,1,2016,13500,29226,30,62.79999924,2,2,1
27725,84,2017,18900,33514,145,60.09999847,2,1,1
27726,1,2018,14600,6522,145,37.20000076,1.5,1,5
27727,7,2016,15800,11231,145,47.90000153,2,2,5
27728,1,2016,11400,21591,125,53.29999924,1.5,2,5
27729,86,2013,12000,79972,200,47.09999847,3,1,1
27730,1,2018,17500,14037,145,54.29999924,1.5,1,5
27731,9,2017,23500,25034,200,47.90000153,3,1,1
27732,84,2016,16700,44478,125,60.09999847,2,1,1
27733,86,2017,18000,74852,150,47.09999847,3,1,1
27734,8,2016,15500,45856,30,65.69999695,2,1,1
27735,1,2016,9200,48858,0,83.09999847,1.5,2,1
27736,1,2017,11200,40399,145,68.90000153,2,2,1
27737,1,2016,13200,17393,30,65.69999695,2,2,1
27738,9,2014,11000,84816,30,62.79999924,2,1,1
27739,7,2017,18500,27139,160,51.40000153,3,1,1
27740,1,2017,12750,91563,125,60.09999847,2,1,1
27741,7,2014,14000,32139,205,43.5,2,2,5
27742,84,2017,14000,54120,30,65.69999695,2,1,1
27743,84,2017,14000,20925,150,68.90000153,2,2,1
27744,7,2016,12750,30521,20,68.90000153,2,2,1
27745,84,2018,18000,16066,150,51.40000153,1.5,2,5
27746,1,2015,11100,11524,0,83.09999847,1.5,2,1
27747,1,2017,12700,21809,145,53.29999924,1.5,2,5
27748,1,2017,14500,27245,145,68.90000153,2,1,1
27749,7,2013,12750,35736,125,58.90000153,2,1,1
27750,84,2017,14100,55782,145,65.69999695,2,1,1
27751,1,2016,10800,26404,125,53.29999924,1.5,2,5
27752,1,2016,13000,26631,125,52.29999924,1.5,2,5
27753,1,2016,12500,24111,145,47.09999847,1.600000024,2,5
27754,7,2017,13600,22763,145,48.70000076,2,2,5
27755,7,2016,12700,17385,20,72.40000153,2,2,1
27756,9,2016,15600,35474,125,60.09999847,2,1,1
27757,8,2016,15250,16584,30,62.79999924,2,2,1
27758,1,2018,11700,30273,145,53.29999924,1.5,2,1
27759,3,2017,10900,62021,145,65.69999695,2,2,1
27760,9,2016,14400,51552,30,62.79999924,2,1,1
27761,1,2016,11100,29508,125,53.29999924,1.5,2,5
27762,1,2017,11100,30865,145,72.40000153,1.5,2,1
27763,9,2014,12400,46356,30,62.79999924,2,1,1
27764,1,2016,12800,18343,20,70.59999847,1.5,2,1
27765,9,2014,15000,13858,125,57.59999847,2,1,1
27766,3,2017,12750,33752,125,52.29999924,1.5,2,5
27767,86,2016,21750,19083,150,54.29999924,2,1,1
27768,3,2017,13900,46281,125,51.40000153,1.5,1,5
27769,84,2017,14000,54183,150,65.69999695,2,1,1
27770,84,2017,15200,36701,30,65.69999695,2,1,1
27771,7,2017,13500,48082,150,51.40000153,2,1,5
27772,84,2016,12150,77482,20,68.90000153,2,2,1
27773,3,2017,16000,32389,0,141.1999969,1.5,1,4
27774,9,2016,14000,39235,30,62.79999924,2,1,1
27775,7,2018,19490,30703,145,57.59999847,2,1,1
27776,1,2015,15499,20000,125,60.09999847,2,4,1
27777,3,2017,13000,34971,150,72.40000153,1.5,4,1
27778,1,2014,10600,44900,30,64.19999695,2,4,1
27779,86,2017,23000,16945,150,54.29999924,2,4,1
27780,54,2016,29998,34209,300,34,3,4,5
27781,1,2017,12498,14138,20,72.40000153,1.5,2,1
27782,1,2015,7948,74375,30,65.69999695,2,2,1
27783,84,2017,17800,31238,145,55.40000153,2,1,1
27784,7,2015,13100,37204,30,64.19999695,2,2,1
27785,1,2017,11400,26265,0,83.09999847,1.5,2,1
27786,7,2016,14800,38838,125,57.59999847,2,1,1
27787,86,2016,15900,59692,145,54.29999924,2,1,1
27788,7,2016,16300,34623,125,57.59999847,2,1,1
27789,7,2017,14800,29968,30,64.19999695,2,2,1
27790,7,2017,19700,27748,200,49.59999847,3,1,1
27791,7,2015,14450,47288,30,62.79999924,2,1,1
27792,9,2016,13500,64117,30,65.69999695,2,1,1
27793,9,2015,10900,79563,125,60.09999847,2,1,1
27794,7,2016,12200,34842,30,67.30000305,2,2,1
27795,3,2016,10600,24313,0,74.30000305,1.5,2,1
27796,3,2015,9100,40789,0,74.30000305,1.5,2,1
27797,7,2017,12600,66743,30,67.30000305,2,1,1
27798,9,2016,13600,65612,30,62.79999924,2,1,1
27799,1,2016,11700,21390,20,72.40000153,1.5,2,1
27800,7,2017,12450,72065,20,70.59999847,2,1,1
27801,9,2016,13500,62444,125,60.09999847,2,1,1
27802,86,2013,12750,71558,160,50.40000153,2,1,1
27803,84,2017,16700,34666,145,65.69999695,2,1,1
27804,1,2016,11400,22920,20,72.40000153,1.5,2,1
27805,88,2016,21000,71626,0,85.59999847,2,1,4
27806,84,2017,14700,38405,145,68.90000153,2,2,1
27807,7,2018,19000,20681,145,64.19999695,2,1,1
27808,7,2017,15400,20529,145,65.69999695,2,1,1
27809,86,2016,19000,42691,145,54.29999924,2,1,1
27810,1,2018,15000,10058,145,37.20000076,1.5,1,5
27811,7,2016,17950,40337,145,53.29999924,3,1,1
27812,9,2018,22600,23195,145,65.69999695,2,1,1
27813,1,2017,13200,17117,145,53.29999924,1.5,2,5
27814,7,2017,12750,22153,150,68.90000153,2,2,1
27815,7,2015,9750,56038,20,68.90000153,2,2,1
27816,7,2017,10900,78345,0,74.30000305,2,1,1
27817,87,2016,21400,31084,145,54.29999924,2,1,1
27818,1,2017,14600,5615,145,58.90000153,1.5,1,5
27819,7,2017,12600,55751,150,51.40000153,1.5,1,5
27820,87,2017,22500,35016,150,54.29999924,2,1,1
27821,1,2016,8000,81579,0,83.09999847,1.5,2,1
27822,84,2017,14800,31518,145,60.09999847,2,2,1
27823,1,2016,9900,44008,0,83.09999847,1.5,2,1
27824,3,2016,9500,59509,20,68.90000153,2,2,1
27825,7,2017,17950,43703,140,134.5,2,1,4
27826,1,2016,14200,36858,125,60.09999847,2,1,1
27827,1,2016,12100,25786,0,74.30000305,2,1,1
27828,1,2016,12700,24592,20,68.90000153,2,1,1
27829,1,2016,8800,51002,0,83.09999847,1.5,2,1
27830,1,2017,15000,26052,145,68.90000153,2,1,1
27831,7,2017,17100,31528,145,64.19999695,2,1,1
27832,86,2017,21750,25776,200,47.90000153,3,1,1
27833,1,2016,13400,18055,125,52.29999924,1.5,2,5
27834,7,2014,9900,63223,20,68.90000153,2,1,1
27835,1,2016,13700,8719,125,52.29999924,1.5,2,5
27836,8,2018,16900,27133,145,44.79999924,2,1,5
27837,9,2018,21950,21947,150,68.90000153,2,1,1
27838,84,2013,8750,80625,160,51.40000153,2,2,1
27839,7,2017,17000,31501,0,134.5,2,1,4
27840,1,2016,13750,8707,30,55.5,1.5,1,5
27841,1,2017,12800,10861,125,53.29999924,1.5,2,5
27842,8,2017,16000,16359,145,46.29999924,2,2,5
27843,8,2017,16600,46913,145,65.69999695,2,1,1
27844,7,2017,15100,37747,125,60.09999847,2,2,1
27845,8,2017,16750,24882,145,46.29999924,2,2,5
27846,1,2015,12450,24474,125,52.29999924,1.5,2,5
27847,7,2018,15700,29394,145,48.70000076,2,1,5
27848,9,2016,12600,59528,125,60.09999847,2,2,1
27849,3,2016,14600,15577,160,44.09999847,2,2,5
27850,84,2016,13700,52226,20,68.90000153,2,2,1
27851,7,2017,16900,12330,30,64.19999695,2,1,1
27852,8,2015,15998,62943,30,65.69999695,2,4,1
27853,84,2020,31498,1560,145,60.09999847,2,4,1
27854,3,2020,27998,1580,150,43.5,1.5,2,5
27855,88,2020,54998,1500,150,37.70000076,3,4,1
